code,name,market,is_etp,is_spac,is_preferred
000087,하이트진로2우B,KOSPI,False,False,True
0000D0,TIGER 엔비디아미국채커버드콜밸런스(합성),KOSPI,True,False,False
0000H0,KODEX 인도Nifty미드캡100,KOSPI,True,False,False
0000J0,PLUS 한화그룹주,KOSPI,True,False,False
0000Y0,HK 26-12 회사채(AA-이상)액티브,KOSPI,True,False,False
0000Z0,RISE 바이오TOP10액티브,KOSPI,True,False,False
000105,유한양행우,KOSPI,False,False,True
000145,하이트진로홀딩스우,KOSPI,False,False,True
000155,두산우,KOSPI,False,False,True
000157,두산2우B,KOSPI,False,False,True
0001P0,마이티 바이오시밀러&CDMO액티브,KOSPI,True,False,False
0001S0,TIGER 26-04 회사채(A+이상)액티브,KOSPI,True,False,False
000215,DL우,KOSPI,False,False,True
000225,유유제약1우,KOSPI,False,False,True
000227,유유제약2우B,KOSPI,False,False,True
0002C0,에셋플러스 인도일등기업포커스20액티브,KOSPI,True,False,False
000325,노루홀딩스우,KOSPI,False,False,True
0004G0,1Q 미국배당TOP30,KOSPI,True,False,False
000545,흥국화재우,KOSPI,False,False,True
0005A0,KODEX 미국S&P500데일리커버드콜OTM,KOSPI,True,False,False
0005C0,RISE 미국S&P500엔화노출(합성 H),KOSPI,True,False,False
0005D0,SOL 전고체배터리&실리콘음극재,KOSPI,True,False,False
0005G0,ITF K-AI반도체코어테크,KOSPI,True,False,False
000725,현대건설우,KOSPI,False,False,True
0007F0,KODEX 27-12 회사채(AA-이상)액티브,KOSPI,True,False,False
0007G0,PLUS 글로벌원자력밸류체인,KOSPI,True,False,False
0007N0,아이엠에셋 200,KOSPI,True,False,False
000815,삼성화재우,KOSPI,False,False,True
00088K,한화3우B,KOSPI,False,False,True
0008E0,ACE 미국중심중소형제조업,KOSPI,True,False,False
0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,KOSPI,True,False,False
0008T0,SOL 화장품TOP3플러스,KOSPI,True,False,False
001045,CJ우,KOSPI,False,False,True
00104K,CJ4우(전환),KOSPI,False,False,True
001065,JW중외제약우,KOSPI,False,False,True
001067,JW중외제약2우B,KOSPI,False,False,True
0010E0,ACE FTSE WGBI Korea,KOSPI,True,False,False
001275,부국증권우,KOSPI,False,False,True
0013P0,RISE 미국은행TOP10,KOSPI,True,False,False
0013R0,RISE 테슬라미국채타겟커버드콜혼합(합성),KOSPI,True,False,False
001465,BYC우,KOSPI,False,False,True
001515,SK증권우,KOSPI,False,False,True
001525,동양우,KOSPI,False,False,True
001527,동양2우B,KOSPI,False,False,True
0015B0,KoAct 미국나스닥성장기업액티브,KOSPI,True,False,False
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),KOSPI,True,False,False
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),KOSPI,True,False,False
0015K0,TIGER 미국소비트렌드액티브,KOSPI,True,False,False
001685,대상우,KOSPI,False,False,True
0016X0,SOL 중단기회사채(A-이상)액티브,KOSPI,True,False,False
001755,한양증권우,KOSPI,False,False,True
001795,대한제당우,KOSPI,False,False,True
0017Y0,1Q 종합채권(AA-이상)액티브,KOSPI,True,False,False
0018C0,PLUS 고배당주위클리고정커버드콜,KOSPI,True,False,False
0018Z0,RISE 미국양자컴퓨팅,KOSPI,True,False,False
0019K0,TIMEFOLIO 미국나스닥100채권혼합50액티브,KOSPI,True,False,False
002025,코오롱우,KOSPI,False,False,True
0020H0,KoAct 글로벌양자컴퓨팅액티브,KOSPI,True,False,False
0021C0,ACE 장기자산배분액티브,KOSPI,True,False,False
0021D0,ACE TDF2030액티브,KOSPI,True,False,False
0021E0,ACE TDF2050액티브,KOSPI,True,False,False
0022T0,SOL 국제금커버드콜액티브,KOSPI,True,False,False
002355,넥센타이어1우B,KOSPI,False,False,True
0023A0,SOL 미국양자컴퓨팅TOP10,KOSPI,True,False,False
0023B0,PLUS 미국양자컴퓨팅TOP10,KOSPI,True,False,False
0025N0,TIGER TDF2045,KOSPI,True,False,False
0026E0,KODEX 미국S&P500버퍼3월액티브,KOSPI,True,False,False
0026S0,1Q 미국S&P500,KOSPI,True,False,False
002785,진흥기업우B,KOSPI,False,False,True
002787,진흥기업2우B,KOSPI,False,False,True
002795,아모레퍼시픽홀딩스우,KOSPI,False,False,True
00279K,아모레퍼시픽홀딩스3우C,KOSPI,False,False,True
0028X0,KODEX 미국금융테크액티브,KOSPI,True,False,False
002995,금호건설우,KOSPI,False,False,True
003075,코오롱글로벌우,KOSPI,False,False,True
003465,유화증권우,KOSPI,False,False,True
003475,유안타증권우,KOSPI,False,False,True
003495,대한항공우,KOSPI,False,False,True
003535,한화투자증권우,KOSPI,False,False,True
003545,대신증권우,KOSPI,False,False,True
003547,대신증권2우B,KOSPI,False,False,True
003555,LG우,KOSPI,False,False,True
0035T0,PLUS 글로벌휴머노이드로봇액티브,KOSPI,True,False,False
0036D0,TIMEFOLIO 미국배당다우존스액티브,KOSPI,True,False,False
0036R0,RISE 미국휴머노이드로봇,KOSPI,True,False,False
0036Z0,RISE 미국천연가스밸류체인,KOSPI,True,False,False
0038A0,KODEX 미국휴머노이드로봇,KOSPI,True,False,False
003925,남양유업우,KOSPI,False,False,True
0040S0,HANARO 글로벌피지컬AI액티브,KOSPI,True,False,False
0040X0,SOL 팔란티어미국채커버드콜혼합,KOSPI,True,False,False
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,KOSPI,True,False,False
004105,태양금속우,KOSPI,False,False,True
0041D0,KODEX 미국AI소프트웨어TOP10,KOSPI,True,False,False
0041E0,KODEX 미국S&P500액티브,KOSPI,True,False,False
004255,NPC우,KOSPI,False,False,True
004365,세방우,KOSPI,False,False,True
0043B0,TIGER 머니마켓액티브,KOSPI,True,False,False
0043Y0,TIMEFOLIO 차이나AI테크액티브,KOSPI,True,False,False
004415,서울식품우,KOSPI,False,False,True
004545,깨끗한나라우,KOSPI,False,False,True
0046A0,TIGER 미국초단기(3개월이하)국채,KOSPI,True,False,False
0046Y0,ACE 미국배당퀄리티,KOSPI,True,False,False
0047A0,TIGER 차이나테크TOP10,KOSPI,True,False,False
0047N0,PLUS 차이나AI테크TOP10,KOSPI,True,False,False
0047P0,RISE 테슬라고정테크100,KOSPI,True,False,False
0047R0,RISE 팔란티어고정테크100,KOSPI,True,False,False
004835,덕성우,KOSPI,False,False,True
0048J0,KODEX 미국머니마켓액티브,KOSPI,True,False,False
0048K0,KODEX 차이나휴머노이드로봇,KOSPI,True,False,False
004985,성신양회우,KOSPI,False,False,True
00499K,롯데지주우,KOSPI,False,False,True
0049K0,ACE 미국배당퀄리티채권혼합50,KOSPI,True,False,False
0049M0,ACE 미국배당퀄리티+커버드콜액티브,KOSPI,True,False,False
0050E0,PLUS 미국AI에이전트,KOSPI,True,False,False
0051A0,KoAct 브로드컴밸류체인액티브,KOSPI,True,False,False
0051G0,SOL 미국원자력SMR,KOSPI,True,False,False
005257,녹십자홀딩스2우,KOSPI,False,False,True
0052D0,TIGER 코리아배당다우존스,KOSPI,True,False,False
0052S0,1Q 미국S&P500미국채혼합50액티브,KOSPI,True,False,False
0052T0,1Q 중단기회사채(A-이상)액티브,KOSPI,True,False,False
005305,롯데칠성우,KOSPI,False,False,True
005385,현대차우,KOSPI,False,False,True
005387,현대차2우B,KOSPI,False,False,True
005389,현대차3우B,KOSPI,False,False,True
0053L0,TIGER 차이나휴머노이드로봇,KOSPI,True,False,False
0053M0,더제이 중소형포커스액티브,KOSPI,True,False,False
005725,넥센우,KOSPI,False,False,True
005745,크라운해태홀딩스우,KOSPI,False,False,True
0057H0,PLUS 미국S&P500미국채혼합50액티브,KOSPI,True,False,False
005935,삼성전자우,KOSPI,False,False,True
005945,NH투자증권우,KOSPI,False,False,True
005965,동부건설우,KOSPI,False,False,True
0060H0,TIGER 토탈월드스탁액티브,KOSPI,True,False,False
006125,SK디스커버리우,KOSPI,False,False,True
0061Z0,RISE 단기특수은행채액티브,KOSPI,True,False,False
006345,대원전선우,KOSPI,False,False,True
006405,삼성SDI우,KOSPI,False,False,True
0064K0,KODEX 금액티브,KOSPI,True,False,False
0065G0,KODEX 차이나테크TOP10,KOSPI,True,False,False
0066W0,SOL 국제금,KOSPI,True,False,False
0067V0,TIGER 차이나글로벌리더스TOP3+,KOSPI,True,False,False
0067Y0,TIGER 차이나AI소프트웨어,KOSPI,True,False,False
006805,미래에셋증권우,KOSPI,False,False,True
00680K,미래에셋증권2우B,KOSPI,False,False,True
0068M0,KODEX 미국S&P500버퍼6월액티브,KOSPI,True,False,False
0069M0,1Q 미국나스닥100,KOSPI,True,False,False
0072R0,TIGER KRX금현물,KOSPI,True,False,False
0073X0,FOCUS 알리바바미국채커버드콜혼합,KOSPI,True,False,False
0074K0,KoAct K수출핵심기업TOP30액티브,KOSPI,True,False,False
007575,일양약품우,KOSPI,False,False,True
007815,코리아써우,KOSPI,False,False,True
00781K,코리아써키트2우B,KOSPI,False,False,True
0078V0,PLUS 미국로보택시,KOSPI,True,False,False
0079X0,ACE BYD밸류체인액티브,KOSPI,True,False,False
00806K,대덕1우,KOSPI,False,False,True
0080G0,KODEX K방산TOP10,KOSPI,True,False,False
0080X0,SOL 미국S&P500미국채혼합50,KOSPI,True,False,False
0080Y0,SOL 조선TOP3플러스레버리지,KOSPI,True,False,False
0082F0,HANARO 유럽방산,KOSPI,True,False,False
0082V0,KODEX TDF2060액티브,KOSPI,True,False,False
008355,남선알미우,KOSPI,False,False,True
0083S0,1Q 미국메디컬AI,KOSPI,True,False,False
0084D0,KIWOOM 미국테크100월간목표헤지액티브,KOSPI,True,False,False
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,KOSPI,True,False,False
0085N0,ACE 미국10년국채액티브(H),KOSPI,True,False,False
0085P0,ACE 미국10년국채액티브,KOSPI,True,False,False
0086B0,TIGER 리츠부동산인프라TOP10액티브,KOSPI,True,False,False
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,KOSPI,True,False,False
008775,호텔신라우,KOSPI,False,False,True
0087F0,ACE 차이나AI빅테크TOP2+액티브,KOSPI,True,False,False
0088N0,WON K-글로벌수급상위,KOSPI,True,False,False
0089B0,PLUS 미국나스닥100미국채혼합50,KOSPI,True,False,False
0089C0,KODEX 미국S&P500변동성확대시커버드콜,KOSPI,True,False,False
0089D0,KODEX 금융고배당TOP10,KOSPI,True,False,False
0090B0,PLUS K방산소부장,KOSPI,True,False,False
009155,삼성전기우,KOSPI,False,False,True
0091C0,KODEX 미국10년국채액티브(H),KOSPI,True,False,False
0091M0,HANARO 27-06 회사채(AA-이상)액티브,KOSPI,True,False,False
0091P0,TIGER 코리아원자력,KOSPI,True,False,False
0092B0,SOL 한국원자력SMR,KOSPI,True,False,False
0092C0,SOL 27-12 회사채(AA-이상)액티브,KOSPI,True,False,False
0093A0,RISE AI반도체TOP10,KOSPI,True,False,False
0093B0,RISE 엔비디아고정테크100,KOSPI,True,False,False
0093D0,KoAct 팔란티어밸류체인액티브,KOSPI,True,False,False
009415,태영건설우,KOSPI,False,False,True
0094K0,TIGER 28-04 회사채(A+이상)액티브,KOSPI,True,False,False
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,KOSPI,True,False,False
0094M0,RISE 코리아밸류업위클리고정커버드콜,KOSPI,True,False,False
0094X0,1Q 샤오미밸류체인액티브,KOSPI,True,False,False
0097L0,KIWOOM 한국고배당&미국AI테크,KOSPI,True,False,False
009835,한화솔루션우,KOSPI,False,False,True
0098F0,KODEX K원자력SMR,KOSPI,True,False,False
0098N0,PLUS 자사주매입고배당주,KOSPI,True,False,False
0098Z0,FOCUS 200,KOSPI,True,False,False
0099L0,ACE 우량회사채(AA-이상)액티브,KOSPI,True,False,False
0100K0,KODEX K방산TOP10레버리지,KOSPI,True,False,False
0101N0,RISE AI전력인프라,KOSPI,True,False,False
0102A0,TIGER 미국AI소프트웨어TOP4Plus,KOSPI,True,False,False
0102X0,ACE 유럽방산TOP10,KOSPI,True,False,False
0103T0,1Q K소버린AI,KOSPI,True,False,False
0104G0,PLUS K방산레버리지,KOSPI,True,False,False
0104H0,KoAct 미국나스닥채권혼합50액티브,KOSPI,True,False,False
0104N0,TIGER 200타겟위클리커버드콜,KOSPI,True,False,False
0104P0,TIGER 코리아배당다우존스위클리커버드콜,KOSPI,True,False,False
0105D0,SOL 한국AI소프트웨어,KOSPI,True,False,False
0105E0,SOL 코리아고배당,KOSPI,True,False,False
0106J0,대신 KOSPI200인덱스 X클래스,KOSPI,True,False,False
0107F0,KIWOOM 미국고배당&AI테크,KOSPI,True,False,False
010955,S-Oil우,KOSPI,False,False,True
011155,CJ씨푸드1우,KOSPI,False,False,True
0111J0,HANARO 증권고배당TOP3플러스,KOSPI,True,False,False
0111P0,1Q 미국나스닥100미국채혼합50액티브,KOSPI,True,False,False
0112X0,마이티 200TR,KOSPI,True,False,False
0113D0,TIMEFOLIO 글로벌탑픽액티브,KOSPI,True,False,False
